© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
G Beta Gamma Signaling	4.31E00	1.78E-01	1.147	AKT3,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITPR1,ITPR2,KRAS,PAK1,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B	
Thrombin signalling through proteinase activated receptors (PARs)	4.25E00	3.12E-01	0.000	ARRB2,F2R,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5	
IGF-1 Signaling	4.24E00	1.9E-01	1.213	AKT3,FOS,IRS1,JUN,KRAS,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,PTK2,PXN,RALB,RAP1B,RAP2B,RASA1,SOCS3,YWHAB,YWHAE,YWHAZ	
Salvage Pathways of Pyrimidine Ribonucleotides	4.23E00	1.96E-01	-2.357	ACVR2A,APOBEC3A,APOBEC3B,CDA,CDK1,CDK6,CMPK1,CMPK2,EIF2AK2,GRK4,LIMK2,NEK2,NME2,PAK1,PAK2,PIM1,PLK1,PRKAA1,UPP1	
3-phosphoinositide Degradation	4.23E00	1.55E-01	-1.400	ALPL,CDC25A,DUSP1,DUSP10,INPP4B,ITPK1,MTMR3,NUDT1,PAWR,PIP4P2,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
Apoptotic execution phase	4.2E00	2.5E-01	-1.387	CLSPN,DNM1L,H1-2,H1-3,H1-4,H1-5,HMGB1,HMGB2,LMNB1,PAK2,PTK2,STK24,VIM	
Regulation of TLR by endogenous ligand	4.19E00	3.81E-01	-1.414	CD36,FGB,HMGB1,LY96,S100A8,S100A9,TLR1,TLR4	
Endoplasmic Reticulum Stress Pathway	4.19E00	3.81E-01	-1.414	CALR,DDIT3,EIF2S1,HSP90B1,HSPA5,MAP3K5,TAOK3,XBP1	
Protein folding	4.17E00	1.94E-01	-0.229	CCT5,FBXL5,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,PFDN1,RGS6,TBCA,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1,XRN2	
AMPK Signaling	4.16E00	1.45E-01	1.789	ADRA2A,AKT3,BRD7,CCNA2,CDKN1A,CREB5,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,IRS1,ORAI1,PFKFB3,PIK3C3,PIK3CB,PPM1A,PPM1L,PPP2R5C,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,RAB11A,RAB27A,RAB6A,SMARCA2,SMARCD3	
Paxillin Signaling	4.12E00	1.87E-01	0.943	ACTN1,ARF6,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,NCK2,PAK1,PAK2,PIK3C3,PIK3CB,PTK2,PTPN12,PXN,RALB,RAP1B,RAP2B,TLN1,VCL	
PPAR Signaling	4.12E00	1.87E-01	2.065	FOS,HSP90AA1,HSP90B1,IL18RAP,IL1B,IL1RN,JUN,KRAS,MAP4K4,NFKBIA,NFKBIB,NRIP1,PDGFA,PPARG,RALB,RAP1B,RAP2B,RELB,SRA1,TNFRSF1A	
NAD Signaling Pathway	4.08E00	1.66E-01	-0.853	AKT3,BMP6,CEBPB,EGF,ETFA,GSK3B,H1-10,H1-2,H1-3,H1-4,H1-5,H2BC10,H2BC17,H2BC26,LDHA,NAMPT,PARP9,PIK3C3,PIK3CB,POLR2J,POLR2K,POLR2L,PRKAA1,TGFB1,TIPARP	
ATM Signaling	4.05E00	1.9E-01	-0.500	BID,CBX5,CCNB2,CDC25A,CDK1,CDKN1A,CREB5,GADD45B,H2AX,JUN,NBN,NFKBIA,PPM1L,PPP2R5C,RAD51,RNF168,SMC2,TLK1,TOPBP1	
Myelination Signaling Pathway	3.97E00	1.31E-01	2.592	ACVR1,ACVR2A,ADAM22,AKT3,ARF6,BMP6,CALM1 (includes others),CHP1,CREB5,FOS,GSK3B,HDAC9,ID2,IDI1,ILK,IRS1,ITGA2,ITGB1,ITGB2,ITGB5,JUN,KRAS,LMNB1,MBP,PDGFA,PDK1,PIK3C3,PIK3CB,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PTEN,PTK2,PTPRA,RAB35,RALB,RAP1B,RAP2B,RHEB,ROCK2,SMAD2,XAF1	
HIF1α Signaling	3.96E00	1.48E-01	-0.730	ADM,AKT3,BMP6,CDKN1A,CHP1,EGF,EGLN3,ELOB,HK2,HSP90AA1,HSPA5,HSPA9,JUN,KRAS,LDHA,MKNK2,MMP8,MMP9,NCF2,PIK3C3,PIK3CB,PPP3R1,RAC2,RALB,RAP1B,RAP2B,RBX1,RPS6,SLC2A5,TGFB1,VIM	
G alpha (z) signalling events	3.92E00	2.5E-01	0.000	ADRA2A,GNAI3,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,RGS19	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.91E00	1.54E-01	-1.877	ALPL,CDC25A,DUSP1,DUSP10,IPMK,ITPK1,NUDT1,PAWR,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.91E00	1.54E-01	-1.877	ALPL,CDC25A,DUSP1,DUSP10,IPMK,ITPK1,NUDT1,PAWR,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PPP4C,PPP4R1,PRUNE1,PTEN,PTPN1,PTPN12,PTPRF,PTPRJ,RASA1,SACM1L,SET,SIRPA,SOCS3	
ILK Signaling	3.91E00	1.49E-01	0.000	ACTN1,AKT3,CREB5,FN1,FOS,GSK3B,ILK,IRS1,ITGB1,ITGB2,ITGB5,JUN,LIMS1,MMP9,NCK2,PIK3C3,PIK3CB,PPM1L,PPP2R5C,PTEN,PTK2,PXN,RAC2,RELB,RHOG,RSU1,TMSB10/TMSB4X,TNFRSF1A,VCL,VIM	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3.9E00	1.98E-01	-3.638	CASP1,CCL5,EIF2AK2,IFIT2,IFIT3,IFNAR1,IL1B,IL1RN,ISG15,ISG20,MYD88,NLRP3,OAS3,PYCARD,RSAD2,STAT1,TLR4	
Docosahexaenoic Acid (DHA) Signaling	3.88E00	1.4E-01	2.535	ADAM10,AKT3,APP,BCL2A1,BID,BMP6,CAT,CREB5,EGF,FABP1,FABP4,FABP5,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,IL1B,ITPR1,ITPR2,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PLCB4,PLCH1,PNPLA8,PRDX6,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,TGFB1,TNFRSF1A	
Integration of energy metabolism	3.87E00	1.84E-01	1.265	ADRA2A,CD36,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,IQGAP1,ITPR1,ITPR2,MARCKS,PRKACB,PRKAR1A,PRKAR2B,TKT	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.87E00	3.48E-01	-2.121	CMPK1,CMPK2,DTYMK,DUT,NME2,RRM1,RRM2,TYMS	
ISG15 antiviral mechanism	3.85E00	2.11E-01	-3.357	EIF2AK2,EIF4E2,EIF4G3,HERC5,IFIT1,ISG15,KPNA2,KPNA4,NUP214,NUP50,SEC13,STAT1,UBC,UBE2L6,UBE2N	
Gene Silencing by RNA	3.85E00	1.89E-01	-3.771	AGO4,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,HSP90AA1,NUP214,NUP50,POLR2J,POLR2K,POLR2L,SEC13	
HIPPO signaling	3.84E00	1.95E-01	0.632	DLG1,MOB1A,PARD3,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,RBX1,SAV1,SMAD2,STK3,STK4,YWHAB,YWHAE,YWHAZ	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	3.84E00	2.03E-01	-2.000	APP,HERC5,HMGB1,HSP90AA1,IFIH1,ISG15,NFKBIA,NFKBIB,RNF216,S100A12,TNFAIP3,UBC,UBE2D1,UBE2D3,UBE2K,UBE2L6	
Renal Cell Carcinoma Signaling	3.84E00	2.03E-01	-0.302	AKT3,EGLN3,ELOB,FOS,JUN,KRAS,PAK1,PAK2,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RBX1,TGFB1,UBC	
Intra-Golgi and retrograde Golgi-to-ER traffic	3.83E00	1.48E-01	0.730	ACTR10,ARL1,BICD2,CENPE,DCTN3,DYNC1I1,DYNC1LI2,DYNLL1,GOLGA1,KIF11,KIF18B,KIF20A,KIF2A,KIFC1,MAN2A1,NBAS,PLA2G4A,PLIN3,RAB30,RAB33B,RAB6A,RACGAP1,STX10,TRIP11,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1,VAMP3	
Endothelin-1 Signaling	3.81E00	1.49E-01	0.962	CASP1,CASP4,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,JUN,KRAS,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PLCB4,PLCH1,PLD1,PNPLA8,PRDX6,PTGER2,PTGS1,RALB,RAP1B,RAP2B	
Semaphorin interactions	3.8E00	2.19E-01	0.000	ARHGEF12,DPYSL2,GSK3B,HSP90AA1,ITGB1,LIMK2,PAK1,PAK2,PIP5K1C,PLXNC1,ROCK2,SEMA4D,TLN1,TYROBP	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.75E00	1.51E-01	3.266	ATP2A2,CALM1 (includes others),CHP1,CREB5,GNAI3,GNAQ,GNAS,GRINA,GUCY1A1,GUCY1B1,ITPR1,ITPR2,KCNJ15,KCNJ2,PAWR,PLCB4,PLCH1,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PRKG1	
MSP-RON Signaling in Cancer Cells Pathway	3.75E00	1.64E-01	0.426	AKT3,CREB5,CSF2RB,ELK3,FOS,GSK3B,ITGB1,JUN,KRAS,NFKBIA,PIK3C3,PIK3CB,PLAUR,PTK2,RALB,RAP1B,RAP2B,RELB,SMAD2,VIM,YWHAB,YWHAE,YWHAZ	
RAR Activation	3.74E00	1.21E-01	1.941	ACVR1,ACVR2A,ADAM10,AKT3,BRD7,CDKN1A,CDKN1B,CREB5,CSF2RB,DHRS3,DUSP1,EGF,FABP5,FOS,GNAQ,GNB1,GUCY1A1,GUCY1B1,IL1B,ITGB3BP,JUN,MEIS1,MMP8,MMP9,NRIP1,PDE3A,PDE5A,PIK3C3,PIK3CB,PPARG,PRKACB,PRKAR1A,PRKAR2B,PTEN,RAC2,RARA,RARG,RDH11,RELB,RHOG,SMARCA2,SMARCD3,SOCS3,SRA1,TDP2,TGFB1,TGM2,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,TNIP1	
FAT10 Cancer Signaling Pathway	3.74E00	2.4E-01	1.265	ACVR1,ACVR2A,AKT3,GSK3B,MAD2L1,NFKBIA,NFKBIB,PCNA,RELB,SMAD2,TGFB1,TNFRSF1A	
Nucleotide Excision Repair	3.73E00	1.86E-01	-1.886	COPS6,ELL,ERCC6,ISY1,PCNA,POLE2,POLE4,POLR2J,POLR2K,POLR2L,RAD23A,RBX1,RPA1,RPA3,SUMO1,SUMO3,UBC,UBE2N	
Prostate Cancer Signaling	3.73E00	1.75E-01	NaN	AKT3,CDKN1A,CDKN1B,CREB5,GSK3B,GSTP1,HDAC9,HSP90AA1,HSP90B1,KRAS,NFKBIA,NFKBIB,PA2G4,PIK3C3,PIK3CB,PTEN,RALB,RAP1B,RAP2B,RELB	
Activation of kainate receptors upon glutamate binding	3.72E00	3E-01	0.333	CALM1 (includes others),DLG1,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5	
Aryl Hydrocarbon Receptor Signaling	3.71E00	1.57E-01	-0.688	CCNA2,CCND2,CDK6,CDKN1A,CDKN1B,CYP1B1,DHFR,FOS,GSTA1,GSTP1,HSP90AA1,HSP90B1,IL1B,JUN,MCM7,MGST1,NCOA2,NQO2,NRIP1,RARA,RARG,RELB,TGFB1,TGM2,TRIP11	
CLEAR Signaling Pathway	3.71E00	1.33E-01	-0.164	AKT3,BMP6,CHP1,CREB5,DDIT4,EGF,FNIP1,GABARAP,GNS,GSK3B,ITPR1,ITPR2,KRAS,LAMTOR2,LAMTOR4,LAMTOR5,MAP4K3,NRBF2,PPM1L,PPP2R5C,PPP3R1,PRKAA1,RALB,RAP1B,RAP2B,RHEB,RRAGD,SEC13,SESN2,STK4,TGFB1,TLR1,TLR4,TNFRSF1A,TPP1,YWHAB,YWHAE,YWHAZ	
Semaphorin Neuronal Repulsive Signaling Pathway	3.71E00	1.6E-01	0.000	AKT3,ARHGEF12,DPYSL2,GSK3B,GUCY1A1,GUCY1B1,ITGA2,ITGB1,ITGB2,ITGB5,LIMK2,MYL12A,PAK1,PAK2,PIK3C3,PIK3CB,PIP5K1C,PPP1CB,PRKACB,PRKAR1A,PRKAR2B,PRKG1,ROCK2,SEMA4D	
CDK5 Signaling	3.68E00	1.74E-01	1.500	EGR1,FOSB,GNAS,GUCY1A1,GUCY1B1,ITGA2,ITGB1,KRAS,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B	
Role of Tissue Factor in Cancer	3.67E00	1.45E-01	0.730	ACVR1,ACVR2A,AKT3,ARRB2,BIRC5,EGF,EGR1,F2R,FGB,FOS,GNAQ,IL1B,ITGB1,JUN,KRAS,LIMK2,MMP9,PIK3C3,PIK3CB,PLAUR,PPP2R5C,PTEN,PTK2,PXN,RALB,RAP1B,RAP2B,RPS6KC1,TGFB1,TNFRSF1A	
Phagosome Formation	3.66E00	1.09E-01	-0.585	ADRA2A,AKT3,AP1M2,APBB1IP,ARF6,ARPC2,ARPC3,AVPR1A,BCL10,C5AR1,CCR1,CD36,CLEC4D,CLEC4E,CRKL,CXCR1,DIAPH1,F2R,FCAR,FCGR1A,FCGR3A/FCGR3B,FFAR2,FN1,FPR1,FPR2,GAB2,GPR160,HRH2,IGHA1,IGHA2,IGHG1,IGKC,IGLC2,ITGA2,ITGB1,ITGB2,ITGB5,ITPR1,ITPR2,JCHAIN,KRAS,LIMK2,LPAR5,LPAR6,MARCKS,MARCO,MYD88,MYL12A,MYLK,OXTR,P2RY1,P2RY12,P2RY13,PAK1,PAK2,PIK3C3,PIK3CB,PIP4K2A,PIP5K1C,PLA2G12A,PLA2G4A,PLAAT1,PLD1,PNPLA8,PRDX6,PTGER2,PTK2,RAC2,RALB,RAP1B,RAP2B,ROCK2,TLN1,TLR1,TLR4,WIPF1	
Neuroinflammation Signaling Pathway	3.66E00	1.29E-01	-1.480	ACVR1,ACVR2A,AKT3,APP,B2M,BIRC5,BIRC6,CASP1,CCL5,CHP1,CREB5,FOS,GLS,GRINA,GSK3B,HLA-DOA,HMGB1,ICAM1,IFNGR2,IL1B,JUN,MMP9,MYD88,NAIP,NCF2,NFAT5,NLRP3,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PPP3R1,PYCARD,RAC2,RELB,STAT1,TGFB1,TLR1,TLR4,TNFRSF1A,TYROBP	
Gα12/13 Signaling	3.66E00	1.65E-01	1.606	AKT3,F2R,JUN,KRAS,LPAR5,LPAR6,MAP3K5,MEF2C,MYL12A,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PTK2,PXN,RALB,RAP1B,RAP2B,RASA1,RELB,ROCK2,TEC	
TNFR1 Signaling	3.65E00	2.35E-01	-1.897	BID,FOS,JUN,MADD,NAIP,NFKBIA,NFKBIB,PAK1,PAK2,RELB,TNFAIP3,TNFRSF1A	
TBC/RABGAPs	3.64E00	2.5E-01	0.905	ARF6,GABARAP,GABARAPL2,MAP1LC3B,RAB11A,RAB33B,RAB35,RAB6A,RABGAP1,TBC1D14,TBC1D15	
Clathrin-mediated Endocytosis Signaling	3.64E00	1.44E-01	NaN	AP1M2,AP2A1,AP5B1,ARF6,ARPC2,ARPC3,ARRB2,CHP1,CTTN,DAB2,DNM1L,DNM3,EGF,EPS15,F2R,ITGB1,ITGB2,ITGB5,LDLRAP1,LYZ,PDGFA,PIK3C3,PIK3CB,PIP5K1C,PPP3R1,RAB11A,S100A8,SERPINA1,STON2,UBC	
Hepatic Fibrosis Signaling Pathway	3.63E00	1.21E-01	0.866	ACVR1,ACVR2A,AKT3,CALM1 (includes others),CCL5,CDKN1B,CEBPB,CREB5,FOS,FTH1,GNAI3,GSK3B,ICAM1,IL18RAP,IL1B,IL1RN,ITGA2,ITGB1,ITGB2,ITGB5,JUN,KRAS,LEPR,MYD88,MYL12A,MYLK,NCF2,NFKBIA,NFKBIB,PDGFA,PDK1,PIK3C3,PIK3CB,PPARG,PRKACB,PRKAR1A,PRKAR2B,PTEN,PTK2,RAC2,RALB,RAP1B,RAP2B,RELB,RHOG,ROCK2,SDHB,SMAD2,TGFB1,TLR4,TNFRSF1A	
Toll-like Receptor Cascades	3.6E00	2.9E-01	-0.333	BPI,CD36,DNM1L,DNM3,ITGB2,LY96,PIK3C3,TLR1,TLR4	
PAK Signaling	3.57E00	1.71E-01	0.728	ARHGAP10,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMK2,MYL12A,MYLK,NCK2,PAK1,PAK2,PDGFA,PIK3C3,PIK3CB,PTK2,PXN,RALB,RAP1B,RAP2B	
Gαs Signaling	3.57E00	1.67E-01	0.577	CREB5,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,HRH2,PRKACB,PRKAR1A,PRKAR2B,PTGER2,RGS2	
SUMOylation of DNA replication proteins	3.55E00	2.44E-01	-2.714	AURKB,BIRC5,INCENP,NUP214,NUP50,PCNA,RANGAP1,SEC13,SUMO1,SUMO3,TOP2A	
Coronavirus Replication Pathway	3.55E00	2.44E-01	1.508	CTSL,GSK3B,IFITM1,IFITM2,IFITM3,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1	
G-Protein Coupled Receptor Signaling	3.53E00	1.08E-01	-0.459	ADRA2A,AKT3,ARRB2,AVPR1A,C5AR1,CALM1 (includes others),CCR1,CHP1,CREB5,CXCR1,CXCR2,DUSP1,F2R,FFAR2,FOS,FPR1,FPR2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GPR160,GRK3,GRK4,GSK3B,GUCY1A1,GUCY1B1,HRH2,JUN,KRAS,LPAR5,LPAR6,MAP3K5,MEF2C,MYL12A,MYLK,NFAT5,NFKBIA,NFKBIB,OXTR,P2RY1,P2RY12,P2RY13,PAK1,PAK2,PDE3A,PDE5A,PIK3C3,PIK3CB,PLCB4,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PTGER2,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RASA1,RELB,RGS10,RGS18,RGS2,ROCK2,TDP2	
Cell surface interactions at the vascular wall	3.53E00	1.42E-01	-1.095	ANGPT1,CD177,CD47,CD84,CEACAM1,CEACAM3,CEACAM6,CEACAM8,FN1,IGHA1,IGHA2,IGKC,IGKV1-5,IGKV4-1,IGLC2,ITGA2,ITGB1,ITGB2,JAM3,JCHAIN,KRAS,PF4,PF4V1,PIK3CB,PROS1,SDC4,SELL,SELPLG,SIRPA,TGFB1	
G-protein beta:gamma signalling	3.49E00	2.81E-01	-0.333	AKT3,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,PAK1	
Regulation of lipid metabolism by PPARalpha	3.47E00	1.68E-01	-1.147	ABCA1,ACSL1,ALAS1,CD36,CDK19,CHD9,FABP1,G0S2,GRHL1,ME1,MED13L,MED29,MED30,MED8,MTF1,NCOA2,PLIN2,PPARG,SMARCD3,TBL1XR1	
Signaling by Hippo	3.46E00	3.5E-01	1.890	MOB1A,MOB1B,SAV1,STK3,STK4,YWHAB,YWHAE	
Molecular Mechanisms of Cancer	3.46E00	1.04E-01	-0.318	ACVR1,ACVR2A,ADRA2A,AKT3,ARHGEF12,AVPR1A,BCL2L11,BID,BMP6,C5AR1,CCND2,CCR1,CDC25A,CDK6,CDKN1A,CSF2RB,CXCR1,CXCR2,EGF,F2R,FFAR2,FOS,FPR1,FPR2,GAB2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GPR160,GSK3B,GUCY1A1,GUCY1B1,HDAC9,HRH2,IFNAR1,IL18RAP,IL1B,IRS1,ITGA2,ITGB1,ITGB2,ITGB5,JUN,KRAS,LPAR5,LPAR6,MAP3K5,MAX,MMP8,MMP9,NAIP,NBN,NFKBIA,NFKBIB,OXTR,P2RY1,P2RY12,P2RY13,PA2G4,PAK1,PAK2,PIK3C3,PIK3CB,PLCB4,PRKACB,PRKAR1A,PRKAR2B,PTGER2,PTK2,RAC2,RALB,RALBP1,RAP1B,RAP2B,RASA1,RBPJ,RELB,RHOG,SMAD2,TGFB1	
Regulation of eIF4 and p70S6K Signaling	3.46E00	1.47E-01	1.387	AGO4,AKT3,EIF2S1,EIF2S2,EIF3M,EIF4EBP2,EIF4G3,IRS1,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,MT-TM,PAIP1,PAIP2,PIK3C3,PIK3CB,PPM1L,PPP2R5C,RALB,RAP1B,RAP2B,RPS2,RPS24,RPS6,RPSA	
ATF6 (ATF6-alpha) activates chaperone genes	3.44E00	5E-01	-2.236	CALR,DDIT3,HSP90B1,HSPA5,XBP1	
Endocannabinoid Cancer Inhibition Pathway	3.43E00	1.56E-01	-1.091	AKT3,CASP1,CASP4,CCND2,CDKN1A,CDKN1B,CREB5,DDIT3,GNAI3,GNAO1,GNAQ,GSK3B,GUCY1A1,GUCY1B1,PIK3C3,PIK3CB,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PTK2,ROCK2,VIM	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	3.42E00	1.81E-01	-1.698	AKT3,ARF6,ARPC2,ARPC3,FCGR1A,FCGR3A/FCGR3B,GAB2,NCK2,PAK1,PLD1,PTEN,PXN,RAB11A,RAC2,TLN1,VAMP3,VASP	
Cyclins and Cell Cycle Regulation	3.4E00	1.86E-01	-2.309	CCNA2,CCNB2,CCND2,CDC25A,CDK1,CDK6,CDKN1A,CDKN1B,FBXL5,GSK3B,HDAC9,PA2G4,PPM1L,PPP2R5C,RBX1,TGFB1	
Osteoarthritis Pathway	3.35E00	1.36E-01	-1.043	ALPL,ANXA2,ANXA5,CASP1,CASP4,CEBPB,CREB5,CXCR2,DDIT4,FN1,HMGB1,IL18RAP,IL1B,ITGA2,ITGB1,ITGB2,ITGB5,MEF2C,MMP9,MTF1,NAMPT,PPARG,PRKAA1,RBPJ,RELB,S100A8,S100A9,SDC4,SMAD2,TGFB1,TLR4,TNFRSF1A	
Endocannabinoid Neuronal Synapse Pathway	3.35E00	1.54E-01	0.000	CHP1,GNAI3,GNAO1,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRINA,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MGLL,PLCB4,PLCH1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B	
Ferroptosis Signaling Pathway	3.33E00	1.6E-01	0.943	ABCA1,ARF6,BID,CDKN1A,EMP1,FTH1,H2AC20,H2AC21,H2AX,H2AZ1,H2AZ2,H2BC10,H2BC17,H2BC26,KRAS,MACROH2A1,NCOA4,PRKAA1,RALB,RAP1B,RAP2B	
Meiotic synapsis	3.33E00	2.18E-01	-2.887	H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,LMNB1,RAD21	
The citric acid (TCA) cycle and respiratory electron transport	3.33E00	2.18E-01	-1.732	CS,DLD,FAHD1,HAGH,IDH3B,LDHA,ME1,NNT,PDK1,PDK4,SDHB,VDAC1	
Syndecan interactions	3.33E00	2.96E-01	2.121	ACTN1,FN1,ITGA2,ITGB1,ITGB5,SDC4,TGFB1,THBS1	
Integrin signaling	3.33E00	2.96E-01	0.000	APBB1IP,FGB,FN1,PTK2,PTPN1,RAP1B,RASGRP2,TLN1	
Circadian Rhythm Signaling	3.29E00	1.31E-01	NaN	BHLHE40,CREB5,EIF4EBP2,GNAI3,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRINA,GSK3B,GUCY1A1,GUCY1B1,H3-3A/H3-3B,H3C3,ITPR1,ITPR2,KRAS,MKNK2,NFIL3,PLCB4,PLCH1,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,RALB,RAP1B,RAP2B,TRPC6	
Synaptic Long Term Potentiation	3.28E00	1.59E-01	2.400	CALM1 (includes others),CHP1,CREB5,GNAQ,GRINA,ITPR1,ITPR2,KRAS,PLCB4,PLCH1,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B	
GABA Receptor Signaling	3.28E00	1.59E-01	NaN	ABAT,AP2A1,GABARAP,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,UBC,UBQLN1	
Orexin Signaling Pathway	3.28E00	1.34E-01	3.182	AKT3,CALM1 (includes others),GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,IL1B,ITPR1,ITPR2,PIK3C3,PIK3CB,PIP4K2A,PIP5K1C,PLA2G12A,PLA2G4A,PLCB4,PLCH1,PLD1,PPARG,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,SLC8A1,TRPC6	
Triglyceride metabolism	3.27E00	2.65E-01	-1.000	FABP1,FABP4,FABP5,GPD2,MGLL,PLIN3,PPP1CA,PPP1CB,PRKACB	
Late endosomal microautophagy	3.27E00	2.65E-01	-1.667	ARL13B,CHMP2A,CHMP2B,CHMP4B,PLIN2,PLIN3,UBC,VIM,VPS37A	
Inhibition of Angiogenesis by TSP1	3.27E00	2.65E-01	1.890	AKT3,CD36,CD47,GUCY1A1,GUCY1B1,JUN,MMP9,TGFB1,THBS1	
Granulocyte Adhesion and Diapedesis	3.27E00	1.43E-01	NaN	C5AR1,CCL5,CCR1,CLDN5,CSF3R,CXCL5,CXCR1,CXCR2,FPR1,FPR2,GNAI3,HRH2,ICAM1,IL18RAP,IL1B,IL1RN,ITGB1,ITGB2,JAM3,MMP8,MMP9,PF4,PPBP,SDC4,SELL,SELPLG,TNFRSF1A	
CSDE1 Signaling Pathway	3.25E00	2.14E-01	0.302	AGO4,AKT3,CTTN,FN1,FOS,HNRNPC,HNRNPD,PAIP1,PTEN,SDC4,TGFB1,VIM	
